Institution Name,Main Office,Branch Name,Branch Number,Established Date,Acquired Date,Street Address,City,County,State,Zipcode,Latitude,Longitude,2010 Deposits,2011 Deposits,2012 Deposits,2013 Deposits,2014 Deposits,2015 Deposits,2016 Deposits,recent_avg_deposits,Status,Assigned Branch
JPMorgan Chase Bank,0,Soho Branch,42,10/18/1954,,525 Broadway,New York City,New York,NY,10012,40.7229,-73.99889,286082.0,320252.0,344141.0,385854.0,488886.0,508122.0,615029,537345.6666666666,CLOSED,45
JPMorgan Chase Bank,0,Times Square Branch,44,05/02/1927,,3 Times Square,New York City,New York,NY,10036,40.75658,-73.98629,313024.0,338725.0,432032.0,449569.0,474047.0,495929.0,532606,500860.6666666667,CLOSED,119
JPMorgan Chase Bank,0,Broadway Lispenard Branch,45,08/01/1922,,407 Broadway,New York City,New York,NY,10013,40.72258,-74.00624,150592.0,160595.0,204645.0,244811.0,275726.0,306902.0,333954,305527.3333333333,CLOSED,61
JPMorgan Chase Bank,0,Chinatown Branch,46,11/24/1919,,180 Canal Street,New York City,New York,NY,10013,40.71668,-73.9977,480964.0,523824.0,589914.0,638030.0,715607.0,791413.0,892267,799762.3333333334,CLOSED,136
JPMorgan Chase Bank,0,Yorkville Branch,52,06/15/1914,,126 East 86th Street,New York City,New York,NY,10028,40.77966,-73.95609,383871.0,410662.0,437302.0,490441.0,538860.0,526558.0,535283,533567.0,CLOSED,24
JPMorgan Chase Bank,0,Columbus Avenue & 72nd Street Branch,62,10/18/1954,,260 Columbus Avenue,New York City,New York,NY,10023,40.77746,-73.97885,311593.0,350759.0,338917.0,356374.0,384371.0,383014.0,429310,398898.3333333333,CLOSED,206
JPMorgan Chase Bank,0,Bloomingdales Branch,63,08/02/1915,,770 Lexington Avenue,New York City,New York,NY,10065,40.76302,-73.96761,273852.0,284524.0,295659.0,301179.0,365023.0,356922.0,353925,358623.3333333333,CLOSED,268
JPMorgan Chase Bank,0,London Terrace Branch,64,05/01/1931,,475 West 23rd Street,New York City,New York,NY,10011,40.74743,-74.00339,143289.0,163960.0,168332.0,194739.0,224536.0,245573.0,249426,239845.0,CLOSED,48
JPMorgan Chase Bank,0,Tremont Branch,71,10/18/1954,,601 East Tremont Avenue,Bronx,Bronx,NY,10457,40.84628,-73.89296,48180.0,43965.0,45267.0,48717.0,53949.0,56093.0,56539,55527.0,CLOSED,118
JPMorgan Chase Bank,0,Chelsea Branch,79,06/15/1921,,"158 West 14th Street, 2nd Floor",New York City,New York,NY,10011,40.73803,-73.99857,201447.0,208175.0,207242.0,226551.0,236501.0,242861.0,260559,246640.33333333334,CLOSED,26
JPMorgan Chase Bank,0,Lexington Avenue & 72nd Street Branch,81,01/15/1917,,1003 Lexington Avenue,New York City,New York,NY,10021,40.77067,-73.96198,198144.0,187406.0,232051.0,238634.0,263619.0,293597.0,304304,287173.3333333333,CLOSED,200
JPMorgan Chase Bank,0,Sheridan Square Branch,82,01/03/1920,,204 West Fourth Street,New York City,New York,NY,10014,40.73333,-74.00262,307978.0,323295.0,339057.0,387560.0,398346.0,440728.0,454616,431230.0,CLOSED,136
JPMorgan Chase Bank,0,Sutton Place Branch,83,06/07/1926,,994 First Avenue,New York City,New York,NY,10022,40.7568,-73.96401,381890.0,416914.0,446512.0,469062.0,437428.0,474278.0,513961,475222.3333333333,CLOSED,196
JPMorgan Chase Bank,0,Empire State Branch,85,04/01/1924,,349 Fifth Avenue and 34th Street,New York City,New York,NY,10016,40.7482,-73.98473,666584.0,655384.0,733993.0,833534.0,890817.0,7099781.0,15580897,7857165.0,CLOSED,30
JPMorgan Chase Bank,0,Fit Seventh Avenue Branch,86,09/17/1929,,305 Seventh Avenue,New York City,New York,NY,10001,40.74677,-73.99363,270220.0,289307.0,336648.0,359183.0,389188.0,400925.0,491408,427173.6666666667,CLOSED,373
JPMorgan Chase Bank,0,West 86th Street Branch,95,12/09/1929,,59 West 86th Street,New York City,New York,NY,10024,40.78609,-73.97107,297520.0,298637.0,307545.0,329475.0,358566.0,359705.0,374965,364412.0,CLOSED,379
JPMorgan Chase Bank,0,Gracie Square Branch,98,02/01/1938,,453 East 86th Street,New York City,New York,NY,10028,40.77643,-73.94813,199955.0,201831.0,226978.0,249119.0,270207.0,276765.0,291172,279381.3333333333,CLOSED,108
JPMorgan Chase Bank,0,Third Avenue & 41st Street Branch,99,10/02/1961,,633 Third Avenue,New York City,New York,NY,10017,40.74977,-73.97518,536930.0,534039.0,584368.0,652110.0,674841.0,708847.0,741339,708342.3333333334,CLOSED,119
JPMorgan Chase Bank,0,Exxon Building Branch,105,09/09/1959,,1251 Avenue Of The Americas,New York City,New York,NY,10020,40.75971,-73.98065,1633290.0,1755963.0,1915696.0,1999711.0,2004986.0,2008347.0,2072137,2028490.0,CLOSED,35
JPMorgan Chase Bank,0,Astoria 30th Avenue Branch,110,06/19/1961,,31-05 30th Avenue,Long Island City,Queens,NY,11102,40.7667,-73.92097,148276.0,155347.0,176789.0,206933.0,228963.0,250939.0,272444,250782.0,CLOSED,204
JPMorgan Chase Bank,0,Bay Terrace Branch,111,06/06/1960,,2398 Bell Boulevard,Bayside,Queens,NY,11360,40.77942,-73.77563,169397.0,164359.0,184653.0,210463.0,239369.0,253658.0,279639,257555.33333333334,CLOSED,225
JPMorgan Chase Bank,0,Far Rockaway Branch,112,10/05/1931,,1912 Mott Avenue,Far Rockaway,Queens,NY,11691,40.60378,-73.752,41599.0,41935.0,41661.0,46938.0,48890.0,51464.0,52268,50874.0,CLOSED,232
JPMorgan Chase Bank,0,Downtown Flushing Branch,113,01/29/1906,,39-01 Main Street,Flushing,Queens,NY,11354,40.76001,-73.83035,488717.0,553758.0,665005.0,819541.0,984053.0,1101585.0,1246785,1110807.6666666667,CLOSED,221
JPMorgan Chase Bank,0,Forest Hills 71st Ave Branch,114,01/02/1922,,107-36 71st Avenue,Forest Hills,Queens,NY,11375,40.72118,-73.8441,369462.0,377148.0,398091.0,436707.0,469300.0,502087.0,520197,497194.6666666667,CLOSED,122
JPMorgan Chase Bank,0,Columbia University Branch,117,01/01/1824,,2824-26 Broadway,New York City,New York,NY,10025,40.80369,-73.96685,476616.0,500560.0,509924.0,535937.0,552926.0,585744.0,645046,594572.0,CLOSED,39
JPMorgan Chase Bank,0,Rochdale Village Mall Branch,118,12/26/1963,,165-40 Baisley Boulevard,Jamaica,Queens,NY,11434,40.67933,-73.77793,79155.0,79979.0,79218.0,86187.0,92112.0,103283.0,111129,102174.66666666667,CLOSED,69
JPMorgan Chase Bank,0,Hunters Point Branch,121,10/18/1954,,10-51 Jackson Avenue,Long Island City,Queens,NY,11101,40.74251,-73.95271,130285.0,136220.0,146084.0,175561.0,188246.0,226631.0,248397,221091.33333333334,CLOSED,163
JPMorgan Chase Bank,0,Steinway and Broadway Branch,122,01/27/1919,,38-18 Broadway,Astoria,Queens,NY,11103,40.75923,-73.9196,191624.0,190802.0,210850.0,237922.0,242952.0,253736.0,321267,272651.6666666667,CLOSED,153
JPMorgan Chase Bank,0,Queens Blvd and 64th Ave Branch,123,12/28/1959,,97-41 Queens Boulevard,Rego Park,Queens,NY,11374,40.72943,-73.85975,188844.0,193020.0,202799.0,215948.0,225394.0,217878.0,224070,222447.33333333334,CLOSED,17
JPMorgan Chase Bank,0,Stapleton Branch,124,05/01/1928,,621 Bay Street,Staten Island,Richmond,NY,10304,40.62683,-74.07567,50571.0,49589.0,47365.0,53341.0,52521.0,54804.0,56262,54529.0,CLOSED,16
JPMorgan Chase Bank,0,Oceanside Branch,127,06/23/1956,,3285 Long Beach Road,Oceanside,Nassau,NY,11572,40.63109,-73.64089,186475.0,192357.0,211930.0,225057.0,220445.0,223883.0,292667,245665.0,CLOSED,54
JPMorgan Chase Bank,0,Pelham Branch,129,09/16/1935,,35 Fifth Avenue,Pelham,Westchester,NY,10803,40.91176,-73.80945,195892.0,194287.0,202564.0,205522.0,229560.0,225678.0,246944,234060.66666666666,CLOSED,52
JPMorgan Chase Bank,0,Rockville Centre Branch,131,06/04/1963,,10 North Village Avenue,Rockville Centre,Nassau,NY,11570,40.65661,-73.64764,356382.0,372278.0,416956.0,446580.0,446229.0,471622.0,513718,477189.6666666667,CLOSED,79
JPMorgan Chase Bank,0,Hempstead Fulton Branch,132,05/06/1963,,136 Fulton Street,Hempstead,Nassau,NY,11550,40.70674,-73.63147,83334.0,80416.0,82907.0,91316.0,91996.0,92963.0,99338,94765.66666666667,CLOSED,79
JPMorgan Chase Bank,0,Forest Avenue Livermore Branch,136,11/12/1966,,1480 Forest Avenue,Staten Island,Richmond,NY,10302,40.62419,-74.13831,102440.0,103511.0,108168.0,167418.0,174257.0,195843.0,217998,196032.66666666666,CLOSED,194
JPMorgan Chase Bank,0,Woodbury Branch,137,01/07/1967,,7977 Jericho Turnpike,Woodbury,Nassau,NY,11797,40.81449,-73.47665,336232.0,364094.0,407292.0,434065.0,473883.0,443733.0,509827,475814.3333333333,CLOSED,78
JPMorgan Chase Bank,0,Elmsford Branch,138,05/13/1967,,324 Saw Mill River Road,Elmsford,Westchester,NY,10523,41.06551,-73.81447,69960.0,82378.0,75417.0,100752.0,117726.0,174351.0,115819,135965.33333333334,CLOSED,165
JPMorgan Chase Bank,0,Plainview Branch,140,11/10/1967,,1064 Old Country Road,Plainview,Nassau,NY,11803,40.7763,-73.47066,227651.0,245466.0,247680.0,261922.0,289271.0,285591.0,292952,289271.3333333333,CLOSED,265
JPMorgan Chase Bank,0,Coney Island Avenue Branch,142,01/06/1968,,2730 Coney Island Avenue,Brooklyn,Kings,NY,11235,40.59016,-73.96064,151017.0,153682.0,156303.0,183572.0,199027.0,199141.0,223629,207265.66666666666,CLOSED,194
JPMorgan Chase Bank,0,Thornwood Branch,144,02/01/1969,,608 Columbus Avenue,Thornwood,Westchester,NY,10594,41.11301,-73.77218,140401.0,145620.0,151223.0,162526.0,167717.0,166077.0,184267,172687.0,CLOSED,60
JPMorgan Chase Bank,0,Garment Center Branch,148,11/24/1969,,1411 Broadway,New York City,New York,NY,10018,40.75411,-73.98694,722415.0,756573.0,825562.0,921794.0,1028179.0,1088274.0,1107800,1074751.0,CLOSED,196
JPMorgan Chase Bank,0,Bainbridge Branch,149,01/17/1970,,3169 Bainbridge Avenue,Bronx,Bronx,NY,10467,40.87514,-73.87956,95881.0,97372.0,101001.0,106185.0,112012.0,108989.0,113878,111626.33333333333,CLOSED,189
JPMorgan Chase Bank,0,Bayside South Branch,151,09/26/1970,,215-16 73rd Avenue,Oakland Gardens,Queens,NY,11364,40.74058,-73.75897,154441.0,155722.0,166811.0,178915.0,187522.0,185374.0,197150,190015.33333333334,CLOSED,105
JPMorgan Chase Bank,0,White Plains Branch,154,04/17/1971,,191 Mamaroneck Avenue,White Plains,Westchester,NY,10601,41.0281,-73.76476,435292.0,415391.0,428516.0,456042.0,436171.0,452475.0,452700,447115.3333333333,CLOSED,3
